"review_id","title","review","rating","sentiment","date","author","author_id","spoiler","helpful_up","helpful_down","url"
"rw4770166","Cupid shuffle, who? I only know the hoedown throw down.","This movie shaped a generation. You don't know the feeling of serenity until you see Hannah Montana fight with Tyra banks over a pair of black and white striped heels. Or when the rascal flatts are having a casual porch jam session with a bunch of country bumpkins. This blockbuster has emotion, heart, soul, and a little bit of rock and roll. You'll laugh, cry, and most importantly get wet from Travis Brody.","10.0","positive","2019-04-08","alexanrub","ur101455875","True","24","4","https://www.imdb.com/review/rw4770166/"
"rw3660369","Can Still Be Enjoyed If Not A Fan Of The TV Series","When all is said and done, the Hannah Montana television series may go down as the best/most popular in Disney Channel history. After watching this corresponding film installment, I can confidently say that its legacy will also live on via the big screen.

Basically, all you need to know about the showing going in is the basic premise behind everything: Hannah Montana is an incredibly popular pop singer, but only plays the role when not being a ""normal girl"" as Miley Stewart, never to divulge her secret identity to the world.

In this movie, Miley goes (or, rather, is forced) back to her Tennessee roots when her Hannah persona gets a little too ""big for its britches"" out in Hollywood. While down South, Miley starts to remember what made her create Hannah in the first place, and is forced to make a difficult decisions that will affect the rest of her Hollywood career.

What really sets this show apart from other Disney fare is that the characters age/grow right along with the show. By the time this movie came out, Miley Cyrus is playing almost a completely different character than she did at the show's inception. Unlike some shows that re-tread the same basic scenarios time after time regardless of character age, Hannah Montana advances the characters, story lines, and subject matter appropriately, including in this film.

In terms of casting, all the ""usual suspects"" from the series are back, including guest appearances from celebrities like Taylor Swift and Rascal Flatts. Some may argue whether Cyrus has the acting chops to become a true big screen star, but there is no doubt that she shines in this duel-personality role.

Thus, this is a family-friendly film that I can easily recommend to watch with your younger siblings/friends. At first, you may feel uncomfortable watching such supposedly ""silly"" fare, but in short order you'll realize you're just watching an effective family film.","7.0","positive","2017-03-12","zkonedog","ur7826013","False","5","1","https://www.imdb.com/review/rw3660369/"
"rw6762593","Perfect for its target audience","When the film was released in 2009 I was in my early 20's and Miley a Cyrus was becoming the biggest thing In the world. Watching the film 12 years later my thought of the film had changed a lot. When first released I loved the film it's family fun Disney film aimed more at its target audience of preteen girls and teen to young adult girls. Now watching this as a 34 year old I see the film in different eyes.

The film is not a bad film like most people say it is it's a fun family film. It's silly and the acting is not the best but it is what it is.","5.0","neutral","2021-03-31","jakethesnake-42007","ur126266447","False","4","1","https://www.imdb.com/review/rw6762593/"
"rw2054117","Well, this was a waste of time","Miley Stewart's (Miley Cyrus) life is out of balance. Taken under the wing of a gungho and glamorous publicist, Vita (Vanessa Williams), Miley's letting Hannah begin to dominate her life. When she keeps choosing Hannah over her commitments to family members—to say goodbye to Jackson (Jason Earles) as he leaves for college, to attend Lilly's (Emily Osment) long-anticipated sweet-16 party or her grandmother's birthday celebration—it is clear Miley's beginning to forget why the Hannah Montana secret was created in the first place.

When Hannah Montana ends up in a paparazzi-captured fight with Tyra Banks over a pair of designer shoes, Miley's father (Billy Ray Cyrus) quietly takes control. Having attempted to reason with her to no avail, Robby Ray tricks Miley into thinking she's going to New York as Hannah to perform when he's really taking her from Los Angeles back home to Crowley Corners, Tennessee. Miley's double life becomes even more complicated when she returns to Crowley Corners.

She discovers that a reporter has somehow managed to track Hannah Montana to her hometown and is asking lots of questions of the locals. She also meets up with an old childhood friend, Travis Brody (Lucas Till), and soon finds herself in her first serious romance. When Miley tries to impress Travis by telling him about her friend Hannah Montana, she suddenly finds her alter ego enlisted in a concert fundraiser to help save her hometown's pristine Crowley Meadows from developers. Once again, having taken on more than she can handle, Miley has to call on her best friend, Lilly, and ask her for help. When Lilly finally arrives in Crowley Corners pretending to be Hannah Montana, events really spin out of control. Hannah Montana 1/10","1.0","negative","2009-04-18","MCMAYNERBERRY","ur17119745","True","47","55","https://www.imdb.com/review/rw2054117/"
"rw2052800","This movie was pitiful","This movie in my opinion was a waste of film. The acting wasn't good at all. Miley Cyrus provided us with the same stale performance she does in the television series. It is almost a shame that wonderful Vanessa Williams agreed to even do this movie but I guess work is work. I doubt this movie will be remembered in five years. I do believe it is like the Lizzie McGuire movie of today. In two years most people won't even care. This script was very clichéd and slipshod. I did not find one bit of it convincing and if the songs were supposed to be the saving grace then that grace has run out. The music and the songs although most of them from Miley's actual albums although popular with the 8 to 14 crowd will be not considered quality compositions in the eyes of those that know true musical greatness. I would of preferred if she had written more original songs for this movie instead of recycling.","1.0","negative","2009-04-15","SenaShetani","ur9997592","False","62","80","https://www.imdb.com/review/rw2052800/"
"rw2053289","this film is as bad as they get!!","as you cant give films 0 stars i gave it 1 but it's still god dam awful. Hannah Montana or Miley Cyrus is the hill billy of all hill billies and cant act or sing. its as simple as that. DON'T WATCH THIS FILM! its physically impossible to be a singer and normal for one she still has the same face and people will recognise her. also her voice is still the same and when she talks you would know its her and finally its just seriously unlikely. i can not stand her dad. HE MAKES ME ANGRY. no one in that film can act seriously i must have been a really cheap film to make because the actors wouldn't have wanted much money it looks like they just picked them up off the streets. they probably did it for free just to get on TV. REALLY POORLY MADE FILM?!","1.0","negative","2009-04-16","westie0404","ur7228672","False","47","59","https://www.imdb.com/review/rw2053289/"
"rw2178765","Supposed to be fun, and is","Anyone who complains about this movie's premise being ""unrealistic"" is not qualified to comment on it. Come on. It's a Disney movie! Was ""Flubber"" or ""The Love Bug"" realistic? This film is not high drama, looking for Oscar nominations. It doesn't pretend to be, or aspire to be. It's supposed to be fun, and it is. I am admittedly not the target demographic for this material, but it was cute, even so. And Miley Cyrus is beautiful, and has a lot of poise here. She sings well, even if she isn't Marnie Nixon. She doesn't pretend to be, and probably doesn't aspire to be. Her TV show, and by extension, this movie, is silly fluff, and there is nothing wrong with that. Chill.","7.0","positive","2009-12-22","smatysia","ur0111731","False","8","6","https://www.imdb.com/review/rw2178765/"
"rw2055454","I entered the theater that day, unknowing of the horrors that awaited me in the depths of movie hell.","Well, i must say that was pretty damn awful. I'm sure all the 7 year old girls were mad that Miley's (I'm sorry, miley's-her name doesn't deserve to be capitalized)father was trying to stop her from being hannah montana, but all she was doing was being an obnoxious, self-centered, brat, and as far as i'm concerned, didn't deserve to even date that weird hick guy who she had the corny ""love"" scenes with. I was disgiusted with the way they attempted to somewhat villainize her father, although it gave the movie it's modern day Disney channel effect (""God daddy, why won't you let me be a bitch to everyone i've known and loved since birth??!!!! You're so mean to me!!!""). Also, Miley/Hannah (whoever the hell she is) can't act worth a damn. All she did was stand on stage, in the spotlight, and go on and on in her obnoxious, scratchy voice about how she can do what ever she wants, and how she's a freaking victim of something. That was the thing; she couldn't stop yelling in her annoying-as-hell scratchy hick voice, and it didn't get better worth a damn when she started ""singing"", if it can even be called that. Overall, a terrible movie. If you were going to see it tonight, spare yourself the expense.","1.0","negative","2009-04-20","alexoboyleince","ur21010557","False","57","75","https://www.imdb.com/review/rw2055454/"
"rw2689402","Not exactly a great movie worth recommending, but a pretty good one nonetheless","Just a brief note, I think the Hannah Montana show was OK. Aside from some pretty good songs, it's main lead was OK, but later became annoying and some of the story lines, although funny, were quite predictable. While this movie improved a bit on the show, it's still flawed. The story despite it's nice moments is hugely predictable, the direction is bland, the script is schmaltzy, and the dialog is cringe-worthy.

Some of the characters are uninteresting, but the main lead played by Miley Cyrus is a vast improvement and is a much more likable character and her depth is well-developed. Even her relationships with her family especially her father was touching. Some of the songs were mediocre, but the two songs that were not only emotional, but catchy goes to ""Butterfly Fly Away"" and ""The Climb"" and I'm surprised to see that song won an award for Best Movie Song.

Overall, not exactly a great movie worth recommending, but not exactly as terrible as the ratings on this website says it is. It does have it's problems, but it's touching songs makes this worth a view for kids and their families.","","unknown","2012-10-16","gavin-thelordofthefu-48-460297","ur26083589","False","6","4","https://www.imdb.com/review/rw2689402/"
"rw2196889","Maximum Score: D","The guy that wrote the screenplay for this is brilliant. Dan Berendsen made this film worth something, he wrote the screenplay so the show can go on after the movie. Otherwise, there is nothing on this movie. Miley Cyrus, Billy Cyrus , and others aren't good performers. Again with the singer wannabe actress (Miley Cyrus). Jesus Christ, I mean Miley Cyrus isn't that good of a singer and now she's acting? Girl, you're worth billion of dollars, you ain't need this. Anyways, this movie is some bullshit. Maximum Score: D Visit www.moviereviewsof2009.blogspot.com for more. Jesus Christ, again with the guidelines, I couldn't write enough could I?!","6.0","neutral","2010-01-24","jnguyen46117","ur22751350","False","3","2","https://www.imdb.com/review/rw2196889/"
"rw2050897","Not excruciatingly painful as we expected","My friend Destiny texted me yesterday and asked if I wanted to see this movie. I was bored, and had nothing better to do, so I went. Upon arriving at the theater, I noticed about 84% of the audience was under 10/a parent with a child under 10. About 14% were teenagers (like us) and the other 2% were creepy middle aged people. That being said, I did not have high expectations.

It opened with a stampede to a Hannah Montanna concert followed by Miley Cyrus and her little friend stealing a security cart. ""Haha,"" we said. ""How unfunny.""

The only characters we like were the creepy reporter guy and of course the hot cowboy.

We could NOT stop laughing at the stereotypical way southern farms/families were presented. We live in a very rural part of Texas, and I live on a farm, but my whole family doesn't gather in the living room to sing.

Also the cowboy's chicken coop was really awesome. It had an EGG for a door. AN EGG PEOPLE!

Anyway, we give it 5/10 for some funny parts and the hot cowboy.","5.0","neutral","2009-04-11","PaigeLeigh","ur20958291","True","23","27","https://www.imdb.com/review/rw2050897/"
"rw2060795","It hits the mark for its target audience - young, preteen girls and those who love them.","I hope anyone who is the parent or is a relative of young girls will overlook the negative review comments from what appear to be adult men. I saw the movie today with my sister and her 8-year-old granddaughter. We all loved it and we laughed a lot. Anyone who has a young girl, fathers too, I think will enjoy this film. It's not going to win an Oscar for acting but it sure gets my vote for light entertainment. I liked the music from both Miley Cyrus and Taylor Swift; they have different styles.

I'm am puzzled at the number of men who are reviewing a movie that is designed for little girls. I selected a couple of the reviewers who gave the movie one star and looked up some of their other reviews. I one case, his favorite movie contained a lot of violence and bloodshed.

At any rate, I give it an eight because it successfully did what it set out to do. That is to let a lot of little girls and their loved ones have a good time.","8.0","positive","2009-05-02","aj1747","ur12266664","False","103","53","https://www.imdb.com/review/rw2060795/"
"rw2057014","This movie was  so much fun and allowed me to escape (for a little while)  the stresses of college life!","I never write reviews, but I felt compelled to for this movie. First of all, I do not understand why people who dislike Hannah Montanna/Miley Cyrus would go see this movie. I am reading all of the negative comments and noticing the 1 Star ratings and am wondering why these people went to see this movie in the first place? Also, I am a college student who went to see this with my mom and my Grammy. We have sort of a tradition where we go see ""cute, girly"" movies together (Hairspray, Enchanted, 27 Dresses, Definitely Maybe and Maid of Honor were some of the ones we've seen in the theater together). Some of my favorite movies are The Prestige, A Beautiful Mind, Walk the Line, The Bourne Identity, and Fight Club, just so you know I'm not being totally biased reviewing this movie. In addition, I am not a fan of the show, but I've seen it a couple of times, just because all of the Hannah Monatanna hype made me curious. I thought the show's acting was cheesy and sometimes annoying, but I understand it's target audience is 10-14-year-olds. But this does not make me hate Hannah Montanna or think Miley Cyrus is stupid, annoying, lame, etc. I actually think Miley is fantastic--she's relatively clean, she's close to her family, she's passionate about what she does, and she has accomplished so much at just 16 years of age. Anyway, the previews for this movie looked different from the scenes of the lame sitcom on the Disney Channel. I was right--it was different! It had more of a Musical feel than the show did and Miley Cyrus' acting was LOADS better in the movie than on the TV show. Also, it was pretty funny! I also found it amusing that the lady who plays Jan from The Office--one of my favorite shows--was in it. Basically, this movie is so much fun and is really cute. If you're a Hannah Montanna or Miley Cyrus fan you'll LOVE the movie. If you hate Hannah Montanna, then why waste your time seeing this movie? If you're looking to see a movie that's fun, heart-felt, has a strikingly cute boy and has catchy music, then go see Hannah Montanna: The Movie!","7.0","positive","2009-04-24","BlondeLoisLane1988","ur9055156","False","10","18","https://www.imdb.com/review/rw2057014/"
"rw2107111","Typical of its genre","At this writing, the rating is 3.0 with 8908 votes. I would have expected 3.5 It's fluff, poorly done, with wooden ""acting"" and the certainty of purpose it seems only a teen could take seriously... and yet its target audience loves it.

And, although I hate to make the comparison, exactly what redeeming features did Elvis or Beatles movies have? In retrospect, not much.

I've been lucky enough to only be forced to watch one episode of the series, and from what I can tell the movie is just more of the same. If science ever discovers a cure for whatever it is that makes kids like this stuff, great... otherwise, this is typical and there will be more.

I will just add that I personally found absolutely no trace of realism or usefulness in this entire movie.","4.0","negative","2009-08-05","zapdude","ur0523464","False","19","22","https://www.imdb.com/review/rw2107111/"
"rw2341723","Predictable, hypocritical, clichéd- not good I am afraid","I will admit outright first, I do not like the show at all really, because I find it mainly unfunny and feel apart from two or three actors the acting is not good. So I wasn't expecting much when I saw Hannah Montana:The Movie out of curiosity, and while I do think it is a marginal improvement over the show, that isn't saying much.

The scenery is sometimes very nice, but I felt the editing was choppy in places. I also don't really like the soundtrack that much. Butterfly Fly Away was sweet, but I do not like The Climb at all, mostly because the lyrics are really uninspired and Miley Cyrus's vocals were rather forced for my liking.

What else didn't I like about the movie? Well, there was the clichéd plot line, with one too many predictable turns. There was a weak script, that tried to be funny or touching but failed, and a very dull romance. Then there is the message, for me this is one of the most hypocritical messages I have seen in a film in a long time. I can't say anything good about the acting or direction either. The direction is simplistic, while Miley Cyrus verges on painful to watch. Emily Osment tries her hardest, but is given literally nothing to do, while Billy Ray Cyrus should stick to singing than acting. And Barry Bostwick needn't have bothered really, he is a good actor, but with such a poorly written character he is wasted.

Overall, it is a waste of time. By all means you can see it and like it, but to be honest I didn't think much of this. 2/10 Bethany Cox","2.0","negative","2010-11-21","TheLittleSongbird","ur20552756","False","17","19","https://www.imdb.com/review/rw2341723/"
"rw2269897","Good movie? No.","I've watched some Hannah Montana episodes (more than I'd like to admit) and they have decent comedy without being too over the top like most Disney shows tend to be. Of course, having my favorite singer Billy Ray in it makes it better. But this movie was something else. Music numbers rarely fit the movie and they aren't really good. I enjoyed Butterfly Fly Away and Back To Tennessee but that's about it. Also, some scenes just don't fit the movie. Like the one where little girl sees Miley taking off her wig and stuff. It's a bad try to ad artsy scene to the movie. Also, the plot is something you see in the show every couple of episodes. And don't even get me started with that ending! I'm sure none of them will tell about her secret to anyone! Yeehaw...!","3.0","negative","2010-06-27","jupe-matilainen","ur23045398","False","7","5","https://www.imdb.com/review/rw2269897/"
